English/Pinyin,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12,Tibetan 13
Adam's Peak,Śrīpādaparvata,,亞當峰,རི་བོ་ཤྲཱི་པ་ད་,,,,,,,,,,,,
Afghanistan,,https://explore.gnd.network/gnd/4000687-6,阿富汗,ཨཕེ་ག་ནི་སི་ཐན་,ཨབ་གྷན་,ཨ་ཕུ་ཧོན་,ཨ་ཕ་ཀ་ནི་ས་ཏན་,,,,,,,,,
Africa,,https://explore.gnd.network/gnd/4000695-5,非洲,ཧྥིས་གླིང་,ཨ་ཕེ་རི་ཀ་,ཧྥུས་གླིང་,པེ་,ཨ་ཕི་རི་ཀ་,ཨེབ་རོ་,ཧྥའི་ཀྲུའུ་,ཧྥའི་,ཧིས་ཀྲུའུ་,ཨ་ཕི་རི་ཀ་,ཨབ་རི་ཀ་,,
Agra,,,阿格拉,ཨག་ར་,,,,,,,,,,,,
Ajanta,,,阿旃陀,ཨ་ཇན་ཏ་,,,,,,,,,,,,
Ajmer,,,阿傑梅爾,ཨཇི་མེར་,,,,,,,,,,,,
Aksay,,https://explore.gnd.network/gnd/1058332473,阿克塞,ཨར་ཁེ་ཙེ་,,,,,,,,,,,,
Alabama,,,亞拉巴馬,ཡ་ལའ་པའ་མའ་,,,,,,,,,,,,
Albania,,https://explore.gnd.network/gnd/4001028-4,阿爾巴尼亞,ཨར་པ་ཉི་ཡ་,ཨར་སྤ་ཉིས་ཡ་,ཨུ་རི་པ་འགྱི་ཡ་,ཡར་སྤ་ཉི་ཡ་,ཨལ་བྷད་ནི་ཡ་,ཨར་པ་ནི་ཡ་,,,,,,,
Algeria,,https://explore.gnd.network/gnd/4001179-3,阿爾及利亞,ཨལ་ཇི་རི་ཡ་,,,,,,,,,,,,
Algiers,,,阿爾及爾,ཨལ་འཇི་ཡར་སེ་,,,,,,,,,,,,
Alishan,,,阿里山,ཨ་ལི་,,,,,,,,,,,,
Allahabad,Prayagraj,,安拉阿巴德,ཨ་ལ་ཧ་བ་ད་,ཨ་ལ་ཧ་བྷ་ད་,,,,,,,,,,,
Almaty,,,阿拉木圖,ཨ་ནཱ་མུ་ཐུ་,ཨ་ལ་མུ་ཐུ་,ཨ་ལ་མོའུ་ཐོའུ་,,,,,,,,,,
Altai Mountains,,,阿爾泰山,ཨར་ཐེའི་,ཨ་ལི་ཐའེ་,,,,,,,,,,,
Altyn-Tagh,,,阿爾金山,ཨལ་རྟེན་ཏའི་རི་,,,,,,,,,,,,
Ambala,,,安巴拉,ཨམྦ་ལ་,,,,,,,,,,,,
Amdo,,https://explore.gnd.network/gnd/4079747-8,安多,ཨ་མདོ་,རྟའི་ཆོལ་ཁ་,མདོ་སྨད་,,,,,,,,,,
America,,https://explore.gnd.network/gnd/4078704-7,美國,ཨ་མི་རི་ཀ་,ཨ་མེ་རི་ཀ་,མེ་གོ་,ཨ་རི་,ཨ་མེ་རི་ག་,མེ་,ཨ་མེ་རི་ཁ་,ཨ་མི་རི་ཁ་,ཨ་མི་,མེ་ལིས་ཅོན་,,,
Amritsar,,,阿姆利則,ཨམ་བྷར་སར་,ཨམྲིཏ་སར་,ཨམ་འབར་སར་,ཨམ་འབར་ས་,ཨཾ་འབར་སར་,,,,,,,,
Andhra,,https://explore.gnd.network/gnd/4001934-2,安得拉,ཨན་ཏའེ་ལ་,,,,,,,,,,,,
Andong,,,安東,ཨཱན་ཏུང་,,,,,,,,,,,,
Angla,,,昂拉,སྣང་ར་,,,,,,,,,,,,
Anguo,,,安國,ཨན་གོ་,,,,,,,,,,,,
Anhui,,https://explore.gnd.network/gnd/4002062-9,安徽,ཨན་ཧུའི་,རྔན་ཧྥིང་,ཨའན་ཧུའེ་,ཨན་ཧུའེ་,ཨན་ཧོས་,ཨན་ཧུས་,,,,,,,
Anshan,,https://explore.gnd.network/gnd/5020994-2,鞍山,ཨན་ཧྲན་,ཨའན་ཧྲན་,ཨཱན་ཧྲན་,ཨཱན་ཧྲཱན་,,,,,,,,,
Anurādhapura,,,阿努拉德普勒,ཨ་ནུ་ར་དྷ་པུ་ར་,,,,,,,,,,,,
Arabia,,https://explore.gnd.network/gnd/4002529-9,阿拉伯,ཨ་རླའ་བོའོ་,ཨ་ལ་པེ་,ཨ་རབས་,ཨ་རབ་,ཨ་ལ་པོ་,,,,,,,,
Argentina,,https://explore.gnd.network/gnd/4002890-2,阿根廷,ཨ་ཀིན་ཐིང་,ཨར་གིན་ཐེན་,,,,,,,,,,,
Arkansas,,,阿肯色州,ཨ་ཁའན་སི་,,,,,,,,,,,,
Asia,,https://explore.gnd.network/gnd/4003217-6,亞洲,ཨེ་གླིང་,ཨེ་ཤེ་ཡན་,ཨེ་ཤེ་ཡ་,ཨེ་ཤ་ཡ་,ཡ་གླིང་,ཨ་,ཨེ་ཤར་གླིང་,ཨེ་ཤན་,ཨེ་,,,,
Assam,,https://explore.gnd.network/gnd/4003249-8,阿薩姆,ཨ་སམ་,ཨ་སམ་མུ་,,,,,,,,,,,
Aurangabad,,,奧蘭加巴德,ཨའོ་རང་ག་བྷད་,ཨའོ་རང་སྒ་སྦ་ད་,ཨཽ་རང་ག་བ་ད་,,,,,,,,,,
Australia,,https://explore.gnd.network/gnd/4003900-6,澳大利亞,ཨོ་ཊ་ལི་ཡ་,ངོ་ཏ་ལིས་ཡ་,ངོའོ་ཏ་ལིས་ཡ་,ཨོ་སེ་ཐྲར་ལི་ཡ་,ཨོ་སི་ཀྲ་ལི་ཡ་,,,,,,,,
Austria,,https://explore.gnd.network/gnd/4043271-3,奧地利,ངོའི་ཏེ་ལིས་,ངོའོ་ཏེ་ལིས་,ཨོ་ཏི་ལི་,,,,,,,,,,
Ayodhya,Sākēta,,阿約提亞,ཨ་ཡོདྷྱ་,སཀེཏ་,གནས་བཅས་,,,,,,,,,,
Baghdad,,,巴格達,པའ་གའོ་ཏའ་,,,,,,,,,,,,
Bainang,,,白朗,པ་སྣམ་,,,,,,,,,,,,
Baisang,,,柏桑,པེ་སངས་,སྤེལ་བསམ་,,,,,,,,,,,
Baitukan,,,白土坎,བེ་ཐུག་ཁོན་,,,,,,,,,,,,
Baiyü,,https://d-nb.info/gnd/16253656-2,白玉,དཔལ་ཡུལ་,,,,,,,,,,,,
Bajiaolou,,,八角樓,ཨོ་རོང་གྲོང་མཇུག་,,,,,,,,,,,,
Balkhash,,,巴爾喀什,སྦར་ཧ་སེ་,,,,,,,,,,,,
Balrampur,,,伯爾拉姆布爾,བལ་རམ་པུར་,,,,,,,,,,,,
Bamei,,,八美,བར་མའི་,,,,,,,,,,,,
Banbar,,,邊壩,དཔལ་འབར་,,,,,,,,,,,,
Bandung,,,萬隆,བན་ལུན་,ཝམ་ལུང་,དབན་ལུང་,,,,,,,,,,
Bangalore,,,班加羅爾,བྷང་ལོར་,,,,,,,,,,,,
Bangkok,,https://explore.gnd.network/gnd/4004432-4,曼谷,སྦང་ཀོག་,འབན་ཀོག་,,,,,,,,,,,
Baoding,,,保定,པའོ་ཏིང་,པའོ་ཏིན་,,,,,,,,,,,
Baoji,,,寶雞,པའོ་ཅིའི་,པོ་ཅིས་,,,,,,,,,,,
Baotou,,https://explore.gnd.network/gnd/6130180-2,包頭,པའོ་ཐོའུ་,པའོ་ཐེའོ་,,,,,,,,,,,
Baozuo,,,包座,པའུ་གརྩོ་,པའུ་གཙོ་,པའུ་ཅོ་,པའོ་ཙོ་,པའོ་ཅོ་,,,,,,,,
Barkam,,https://explore.gnd.network/gnd/1151895776,馬爾康,འབར་ཁམ་,,,,,,,,,,,,
Barun,,,巴隆,སྤ་ལུང་,,,,,,,,,,,,
Batang,,,巴塘,འབའ་ཐང་,འབའ་ཡུལ་,,,,,,,,,,,
Bayan Har,,,巴顏喀拉,པ་ཡན་ཀེ་ལ་,,,,,,,,,,,,
Beijing,,https://explore.gnd.network/gnd/4075971-4,北京,པེ་ཅིན་,པེ་ཅིང་,པེ་ཀྱིང་,པི་ཅིང་,པད་ཅིན་,པད་ཅིང་,,,,,,,
Beirut,,https://explore.gnd.network/gnd/4005348-9,貝魯特,འབི་ལུ་ཐེ་,འབི་ལུའུ་ཐ་,འབེ་ལུ་ཐ་,འབེ་ལུའུ་ཐ་,,,,,,,,,
Beiyang,,,北洋,པེ་ཡང་,,,,,,,,,,,,
Belgium,,https://explore.gnd.network/gnd/4005406-8,比利時,སྤིས་ལིས་ཧྲི་,པེ་ལི་སི་,,,,,,,,,,,
Belgrade,,,貝爾格萊德,འབར་གེའི་རེ་ཌེ་,,,,,,,,,,,,
Bengal,,https://explore.gnd.network/gnd/1054631026,孟加拉,བྷན་གྷོལ་,བང་ག་ལ་,འབང་ག་ལི་,བྷངྒལ་,ཟ་ཧོར་,,,,,,,,
Beṅgaḷūru,,https://explore.gnd.network/gnd/4004431-2,班加羅爾,འབན་གའ་ལོ་,,,,,,,,,,,,
Benxi,,https://explore.gnd.network/gnd/1096208296,本溪,པིན་ཆིས་,པོན་ཤིས་,པེན་ཆིའི་,,,,,,,,,,
Berlin,,https://explore.gnd.network/gnd/4005728-8,柏林,བེ་ལིང་,པེ་ལིན་,འབར་ལིན་,སྦར་ལིན་,ཐར་ལིན་,བྷར་ལེན་,,,,,,,
Bettiah,Videha,,貝特蒂亞,བེ་ཏི་ཨ་,བི་དེཧ་,ལུས་འཕགས་,བི་ཏི་ཧ་,,,,,,,,,
Bhagalpur,,,巴加爾布爾,བྷང་གལ་པུར་,ཙམྤ་,,,,,,,,,,,
Bhakhra,,,巴克拉,བྷ་ཁ་ར་,,,,,,,,,,,,
Bharwari,,,巴爾瓦里,བྷར་ཝ་རི་,,,,,,,,,,,,
Bhilsa,Vidiśā,,毗底沙,བྷིལ་ཤ་,,,,,,,,,,,,
Bhopal,,,博帕爾,བྷོ་པལ་,བྷོ་བལ་,,,,,,,,,,,
Bhutan,,https://explore.gnd.network/gnd/4006397-5,不丹,འབྲུག་ཡུལ་,,,,,,,,,,,,
Bihar Sharif,,,比哈爾沙里夫,སྦི་ཧར་ཤ་རིབ་,,,,,,,,,,,,
Bikaner,,https://explore.gnd.network/gnd/4268257-5,比卡內爾,སྦི་ཀ་ནར་,,,,,,,,,,,,
Bodh Gaya,,,菩提伽耶,གཱ་ཡ་,བོ་དྷི་གཱཡ་,,,,,,,,,,,
Bogor,,https://explore.gnd.network/gnd/4229201-3,茂物,མོང་འུའི་,,,,,,,,,,,,
Bohai Sea,,,渤海,པོ་ཧའི་རྒྱ་མཚོ་,ཕའོ་ཧེ་རྒྱ་མཚོ་,,,,,,,,,,,
Bolivia,,,玻利維亞,པོའོ་ལི་ཝ་ཡའ་,,,,,,,,,,,,
Bomdila,,https://explore.gnd.network/gnd/4402582-8,邦迪拉,འབུམ་རྡི་ལ་,འབོམ་རྡི་ལ་,,,,,,,,,,,
Bome,,,波密,སྤོ་མའི་,སྤོ་མི་,,,,,,,,,,,
Boston,,https://explore.gnd.network/gnd/4007840-1,波士頓,སྤོ་སི་ཐོན་,,,,,,,,,,,,
Brazil,,https://explore.gnd.network/gnd/4008003-1,巴西,སྤ་ཤིས་,པའ་ཤིས་,པ་ཤིས་,,,,,,,,,,
Budapest,,https://explore.gnd.network/en/gnd/4008684-7,布達佩斯,པུ་ཏ་ཕེ་སི་,,,,,,,,,,,,
Bulgaria,,https://explore.gnd.network/en/gnd/4008866-2,保加利亞,པའོ་ཅ་ལི་ཡ་,སྤོབ་ཅ་ལིས་ཡ་,པའུ་ཀྱ་ནེ་ཡ་,པའུ་ཀྱ་ལེ་ཡ་,པུལ་ག་ནི་ཡ་,,,,,,,,
Cairo,,https://explore.gnd.network/en/gnd/4029236-8,開羅,ཁེ་ལོ་,ཀེ་རོ་,ཀའི་རོ་,,,,,,,,,,
California,,https://explore.gnd.network/en/gnd/4029236-8,加利福尼亞,ཀས་ལེ་ཕོ་ནི་ཡ་,,,,,,,,,,,,
Cambodia,,https://explore.gnd.network/en/gnd/4029400-6,柬埔寨,ཀམ་པོ་ཊི་ཡ་,ཅོན་ཕུའི་ཇེ་,ཅོན་ཕུག་ཛད་,ཅིན་ཕུ་ཀྲའི་,ཅིའན་ཕུ་ཀྲའི་,ཀམྦོ་ཇ་,,,,,,,
Canada,,,加拿大,ཀ་ན་ཌ་,ཀ་ནའ་ཊ་,ཀན་ནའ་ཌ་,ཀ་ན་ད་,,,,,,,,,
Cangyuan,,,滄源,ཚང་ཡོའན་,,,,,,,,,,,,
Caodeng,,,草登,ཚོ་བདུན་,,,,,,,,,,,,
Caracas,,,加拉加斯,ཅ་ལ་ཅ་སི་,,,,,,,,,,,,
Chamdo,,,昌都,ཆབ་མདོ་,མདོ་སྨད་,,,,,,,,,,,
Changchun,,,長春,ཁྲང་ཁྲུན་,ཁྲང་ཁྲོན་,,,,,,,,,,,
Changsha,,,長沙,ཁྲང་ཧྲ་,,,,,,,,,,,,
Changtang,,,羌塘,བྱང་ཐང་,ཅང་ཐང་,,,,,,,,,,,
Changxindian,,,長辛店,ཁྲམ་ཕྱིན་དོན་,,,,,,,,,,,,
Chaoshan,,,潮汕,ཀྲོའོ་སྲན་,,,,,,,,,,,,
Chengde,,,承德,དྲིན་ལྟས་,,,,,,,,,,,,
Chengdu,,,成都,ཁྲིན་འདུ་,ཁྲེང་ཏུ་,ཁྲིན་དུ་,ཕྲིན་དུའི་,,,,,,,,,
Chenjiazhuang,,,陳家莊,ཕྲིན་གྱ་གྲོང་,,,,,,,,,,,,
Chicago,,,芝加哥,ཀྲི་ཅ་ཀོབ་,,,,,,,,,,,,
China,,https://explore.gnd.network/en/gnd/4009937-4,中國,རྒྱ་ནག་,ཀྲུང་གོ་,རྒྱ་དམར་,,,,,,,,,,
Chindu,,,稱多,འཕྲིན་འདུ་,,,,,,,,,,,,
Ching River,,,荊江,ཅིན་ཅང་,,,,,,,,,,,,
Chittagong,,,吉大港,ཅི་ཊ་གོང་,,,,,,,,,,,,
Chola Mountains,,,雀兒山,ཁྲོ་ལ་,,,,,,,,,,,,
Chongqing,,https://explore.gnd.network/en/gnd/4315770-1,重慶,ཁྲུང་ཆིན་,ཁྲུང་ཆིང་,ཁྲུང་ཆིམ་,ཁྲུན་ཆིན་,,,,,,,,,
Chu Lai,,,茱萊,ཆུ་ལའི་,,,,,,,,,,,,
Chuosijia,,,綽斯甲,ཁྲོ་སྐྱབས་,ཁྲོས་སྐྱབ་,,,,,,,,,,,
Cochin,,,科欽,ཁོ་ཕྱིང་,,,,,,,,,,,,
Colombia,,,哥倫比亞,ཀོའོ་ལོན་པི་ཡ་,ཀི་ལོན་སྦི་ཨ་,,,,,,,,,,,
Colombo,,,科倫坡,ཀོ་ལམ་འབུ་,ཀོ་ལམ་སྦོ་,ཀོ་ལམ་འབོ་,,,,,,,,,,
Congo,,,剛果,ཀང་ཀའོ་,ཀོང་གོ་,,,,,,,,,,,
Costa Rica,,,哥斯達黎加,ཀོའོ་སི་ཏ་རི་ཁ་,,,,,,,,,,,,
Crimea,,,克里米亞,ཁའོ་ལི་མི་ཡ་,,,,,,,,,,,,
Cuba,,,古巴,ཀུག་སྤ་,ཁྱུ་པ་,ཀུའུ་པ་,ཀུ་པ་,,,,,,,,,
Cyprus,,,塞浦路斯,སི་ཕུ་ལོའོ་སི་,,,,,,,,,,,,
Czechoslovakia,,,捷克斯洛伐克,ཅེ་ཁེ་སི་ལོ་ཧྥ་ཁེ་,ཆེ་ཁེ་སི་ལོ་ཧྥ་ཁེ་,ཆེ་ཁི་སི་ལོ་ཧྥ་ཁེ་,ཚེ་ཁེ་སི་ལོ་ཧཱ་ཁེ་,ཚེ་ཁེ་སི་ལོ་ཧྭ་ཁེ་,ཅི་ཀོ་སེ་ལ་སྦིཀ་ཡ་,ཆེ་ཁེ་སེ་ལ་ཝ་ཁེ་,ཅེ་ཀོ་སི་ལ་ཝི་ཀི་ཡ་,,,,,
Daba Mountains,,,大巴山,ཏ་པ་ཧྲན་,,,,,,,,,,,,
Dachen,,,大陳,ཏ་ཁྲིན་,,,,,,,,,,,,
Dadu River,,,大渡河,རྒྱལ་མོ་དངུལ་ཆུ་,,,,,,,,,,,,
Dajin,,,大金,ཆུ་ཆེན་,,,,,,,,,,,,
Dalhori,,,達爾合里,ཌལ་ཧོར་,,,,,,,,,,,,
Dali,,,大理,ཏ་ལི་,ཏ་ལིས་,,,,,,,,,,,
Dalian,Lüda 旅大,,大連,ད་ལེན་,རླུད་ཏཱ་,རླུས་ཏའ་,ཏཱ་ལན་,ཏའ་ལིའན་,,,,,,,,
Danang,Đà Nẵng 沱㶞,,峴港,ཌ་ནང་,,,,,,,,,,,,
Danba,,,丹巴,རོང་བྲག་,,,,,,,,,,,,
Dangba,,,黨壩,དམ་པ་,,,,,,,,,,,,
Dangjin,,,當金,ཏང་ཅིང་,,,,,,,,,,,,
Daocheng,,,稻城,འདབ་པ་,,,,,,,,,,,,
Daotanghe,,,倒淌河,ཏའོ་ཐང་ཧོ་,,,,,,,,,,,,
Darjeeling,,,大吉嶺,རྡོར་བཅས་གླིང་,རྡོར་གླིང་,རྡོར་རྗེ་གླིང་,རྡོ་རྗེ་གླིང་,,,,,,,,,
Datong,,,大通（青海）,ཏཱ་ཐུའང་,,,,,,,,,,,,
Dawson,,,道森,དའོ་ཞོའན་,,,,,,,,,,,,
Dawu,,,道孚,རྟའུ་,,,,,,,,,,,,
Dazhao,,,大昭,ལྷོ་རྫོང་,,,,,,,,,,,,
Dazhasi,,,達扎寺,སྟག་ཚ་དགོན་,,,,,,,,,,,,
Dazhuka,,,大竹卡,སྟག་གྲུ་ཁ་,,,,,,,,,,,,
Dêgê,,,德格,སྡེ་དགེ་,,,,,,,,,,,,
Dehong,,,德宏,ཏའེ་ཧུའེང་,,,,,,,,,,,,
Delhi,,,德里,དིལ་ལི་,ལྡི་ལི་,ལྡིལ་ལི་,དེ་གླིས་,དེ་ལིས་,དེ་རླིས་,དི་ལི་,དྷེ་ལེ་,དྷེ་ལི་,ལྟི་ལི་,,,
Delingha,,,德令哈,སྡེ་ལིང་ཁ་,,,,,,,,,,,,
Dêngqên,,,丁青,སྟེང་ཆེན་,,,,,,,,,,,,
Denmark,,,丹麥,ཏ་མེ་,ཏན་མར་ཁེ་,,,,,,,,,,,
Deoria,,,德奧里亞,དེ་བོ་རི་ཡ་,སྡེའོ་རི་ཡ་,,,,,,,,,,,
Derong,,,得榮,སྡེ་རོང་,,,,,,,,,,,,
Dewulu,,,德烏魯,བདེ་བོར་,གཏིས་བུ་ལོའུ་,,,,,,,,,,,
Dhaka,,,達卡,ཌ་ཁ་,,,,,,,,,,,,
Dharamshala,,,達蘭薩拉,རྡ་རམ་ས་ལ་,དྷ་རམ་ས་ལ་,རྡ་ས་,,,,,,,,,,
Dharanikota,Dhānyakaṭaka,,達蘭尼科塔,ཤྲི་དྷ་ན་ཀྭ་ཊ་,,,,,,,,,,,,
Doilungdêqên,,,堆龍德慶,སྟོད་ལུང་བདེ་ཆེན་,,,,,,,,,,,,
Donggar,,,東嘎,གདོང་དཀར་,,,,,,,,,,,,
Dujiangyan,,,都江堰,ཏུའུ་ཅང་ཉན་,,,,,,,,,,,,
